
Trajectories
120
,,Sub003:LFHD,,,Sub003:RFHD,,,Sub003:LBHD,,,Sub003:RBHD,,,Sub003:C7,,,Sub003:T10,,,Sub003:CLAV,,,Sub003:STRN,,,Sub003:RBAK,,,Sub003:LSHO,,,Sub003:LUPA,,,Sub003:LELB,,,Sub003:LFRM,,,Sub003:LWRA,,,Sub003:LWRB,,,Sub003:LFIN,,,Sub003:RSHO,,,Sub003:RUPA,,,Sub003:RELB,,,Sub003:RFRM,,,Sub003:RWRA,,,Sub003:RWRB,,,Sub003:RFIN,,,Sub003:LASI,,,Sub003:RASI,,,Sub003:LPSI,,,Sub003:RPSI,,,Sub003:LTHI,,,Sub003:LKNE,,,Sub003:LTIB,,,Sub003:LANK,,,Sub003:LHEE,,,Sub003:LTOE,,,Sub003:RTHI,,,Sub003:RKNE,,,Sub003:RTIB,,,Sub003:RANK,,,Sub003:RHEE,,,Sub003:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,309.06,225.662,1718.6,152.129,205.313,1723.41,305.282,339.954,1706.85,150.762,330.369,1715.99,226.406,379.465,1524.68,243.193,443.866,1244.96,238.758,244.12,1439.75,250.42,207.94,1269.93,,,,155.031,434.276,1433.98,489.858,325.614,1239.51,506.752,351.801,1110.39,510.991,280.967,969.06,522.082,306.49,851.04,479.36,246.101,858.067,520.162,241.265,776.168,65.8066,343.785,1482.42,-0.897444,324.375,1293.69,-21.2274,367.957,1096.14,-51.2406,315.422,1018.65,-20.7724,249.795,843.41,-56.8993,313.594,835.788,-63.4751,243.219,762.241,374.789,210.27,1005.19,106.572,202.223,1000.07,269.019,393.629,1021.16,188.283,388.872,1018.05,422.619,280.544,671.212,418.879,317.499,509.326,416.455,347.939,255.105,387.462,338.328,71.4422,335.983,384.072,60.7279,373.99,177.681,39.4483,54.3389,244.361,726.871,64.1053,316.511,502.13,50.9439,342.059,389.452,93.2423,350.799,69.173,134.613,396.796,39.1514,92.4436,184.962,34.7831
2,0,309.016,225.351,1718.29,152.345,205.015,1723.43,305.498,339.508,1706.68,150.937,330.12,1716.01,226.477,379.377,1524.7,243.234,443.812,1244.97,238.857,244.025,1439.74,250.455,207.865,1269.87,,,,155.077,434.113,1434.02,489.765,325.375,1239.62,506.69,352.042,1110.19,510.926,280.954,969.056,521.88,306.376,851.008,479.281,245.984,858.127,519.995,241.053,776.231,65.2389,343.589,1483.02,-0.818005,324.293,1293.75,-21.1699,368.026,1096.19,-51.1796,315.439,1018.71,-20.5164,248.339,843.86,-56.687,313.39,835.846,-63.2896,242.889,762.384,374.828,210.306,1005.18,106.562,202.148,1000.05,268.977,393.652,1021.14,188.291,388.805,1018.08,422.581,280.501,671.175,418.943,317.506,509.316,416.496,348.071,254.961,387.439,338.262,71.4477,335.968,384.047,60.7007,373.973,177.624,39.443,54.3339,244.314,726.846,64.096,316.482,502.11,50.945,341.996,389.448,93.2388,350.793,69.1886,134.634,396.78,39.1798,92.4375,184.983,34.788
3,0,309.402,225.194,1718.52,152.561,204.768,1723.41,305.639,339.295,1706.64,151.097,329.894,1716.03,226.553,379.288,1524.72,243.26,443.754,1245,238.909,243.859,1439.71,250.497,207.853,1269.86,,,,155.145,434.028,1434.07,489.89,325.646,1239.44,506.718,352.06,1110.15,510.833,280.894,969.058,521.698,306.215,850.968,479.258,245.734,858.292,519.981,240.687,776.384,65.3079,343.512,1483.08,-0.749419,324.244,1293.77,-21.0989,368.07,1096.2,-51.1128,315.406,1018.76,-20.7482,249.688,843.575,-56.5914,313.329,835.911,-63.2346,242.746,762.543,374.838,210.302,1005.17,106.576,202.154,1000.04,269.055,393.617,1021.09,188.23,388.812,1018.06,422.673,280.352,671.431,418.796,317.242,509.243,416.447,347.99,254.948,387.408,338.203,71.4674,335.924,384.044,60.6975,373.93,177.587,39.4543,54.3154,244.268,726.826,64.1034,316.461,502.092,50.9316,341.987,389.439,93.1918,351.306,69.1239,134.64,396.779,39.1825,92.4397,184.95,34.7979
4,0,309.613,225.007,1718.44,152.781,204.543,1723.4,305.811,339.115,1706.61,151.287,329.661,1716.06,226.651,379.126,1524.71,243.265,443.706,1245.03,238.979,243.739,1439.72,250.494,207.759,1269.81,,,,155.207,433.929,1434.11,489.892,325.595,1239.38,506.854,352.175,1110.13,510.754,280.756,969.041,521.478,305.932,850.927,479.119,245.507,858.332,519.606,240.41,776.324,65.417,343.366,1483.12,-0.668595,324.138,1293.84,-21.0389,368.05,1096.28,-51.0422,315.34,1018.86,-20.2743,247.915,844.141,-56.3714,313.007,835.944,-63.0714,242.064,762.693,374.817,210.228,1005.17,106.566,202.091,1000.03,268.926,393.599,1021.14,188.2,388.762,1018.06,422.494,280.325,671.128,418.728,317.113,509.18,416.423,347.891,254.951,387.312,338.182,71.4669,335.886,384.019,60.6915,373.899,177.538,39.4526,54.3063,244.228,726.826,64.0821,316.441,502.106,50.9319,341.998,389.447,93.1904,351.307,69.1451,134.403,397.668,38.9379,92.4478,184.931,34.7859
5,0,309.816,224.821,1718.4,152.951,204.332,1723.4,305.975,338.944,1706.56,151.574,328.767,1715.91,226.748,379.041,1524.74,243.273,443.658,1245.05,239.077,243.652,1439.67,250.55,208.137,1269.51,,,,155.283,433.853,1434.19,489.892,325.538,1239.33,506.558,351.727,1110.16,510.658,280.552,969.031,521.285,305.582,850.889,478.745,245.124,858.282,519.532,239.917,776.448,65.5163,343.274,1483.18,-0.619904,324.065,1293.9,-20.9516,368.043,1096.32,-50.9449,315.199,1018.95,-20.4157,248.004,844.131,-56.2026,312.729,836.022,-63.0363,241.826,762.847,374.82,210.241,1005.17,106.567,202.048,1000.03,268.825,393.595,1021.14,188.19,388.688,1018.08,422.614,280.178,671.379,418.65,316.964,509.153,416.392,347.775,254.923,387.294,338.138,71.4748,335.863,384.003,60.6723,373.881,177.492,39.4398,54.2959,244.163,726.819,64.06,316.428,502.108,50.9285,341.967,389.433,93.1782,351.257,69.2116,134.657,396.761,39.2141,92.4639,184.953,34.8056
6,0,310.02,224.638,1718.33,153.198,204.145,1723.4,306.148,338.776,1706.54,151.685,329.195,1716.11,226.879,378.931,1524.75,243.278,443.576,1245.07,239.142,243.553,1439.65,250.532,207.715,1269.75,,,,155.348,433.717,1434.23,489.878,325.189,1239.41,506.866,352.007,1109.99,510.512,280.254,969.012,521.07,305.161,850.852,478.414,244.662,858.369,519.124,239.446,776.417,65.4385,343.197,1483.6,-0.568457,323.962,1293.99,-20.8931,367.961,1096.35,-50.8488,315.04,1019.03,-20.3821,248.728,844.009,-56.0721,312.359,836.095,-62.7438,241.083,763.11,374.835,210.273,1005.16,106.565,202.003,1000.01,268.873,393.503,1021.13,188.147,388.707,1018.07,422.571,280.093,671.373,418.645,316.847,509.218,416.363,347.698,254.925,387.262,338.111,71.4915,335.849,383.989,60.5325,373.834,177.446,39.4301,54.3219,244.119,726.795,64.061,316.401,502.097,50.9209,341.948,389.435,93.1856,351.211,69.2038,134.489,397.487,38.961,92.4637,184.903,34.8078
7,0,310.183,224.513,1718.25,153.385,204.003,1723.41,306.329,338.654,1706.48,151.865,329.024,1716.15,226.956,378.848,1524.75,243.289,443.523,1245.06,239.217,243.451,1439.64,250.487,207.602,1269.67,,,,155.371,433.674,1434.31,489.967,325.302,1239.2,506.753,351.671,1109.97,510.424,279.98,969.02,520.854,304.652,850.78,478.232,244.159,858.438,518.866,238.844,776.494,65.8469,343.215,1483.24,-0.514642,323.913,1294.05,-20.8599,367.854,1096.41,-50.7429,314.861,1019.11,-20.1049,247.16,844.539,-55.8496,311.885,836.2,-62.5049,240.652,763.307,374.792,210.218,1005.16,106.547,201.959,999.997,268.829,393.485,1021.13,188.103,388.627,1018.09,422.556,280.042,671.36,418.605,316.781,509.221,416.352,347.593,254.922,387.238,338.099,71.4552,335.835,383.983,60.6724,373.815,177.385,39.4404,54.3272,244.103,726.772,64.0492,316.359,502.091,50.9408,341.969,389.419,93.1715,351.218,69.2155,134.72,396.743,39.1903,92.458,184.916,34.7993
8,0,310.402,224.386,1718.17,153.644,203.859,1723.42,306.563,338.513,1706.44,152.099,328.913,1716.2,227.079,378.727,1524.74,243.288,443.474,1245.08,239.275,243.36,1439.62,250.562,207.942,1269.46,,,,155.414,433.561,1434.34,489.902,324.948,1239.25,506.737,351.611,1109.73,510.298,279.602,969.01,520.645,304.104,850.737,478.164,243.627,858.516,518.694,238.079,776.597,65.8848,343.169,1483.35,-0.456509,323.776,1294.16,-20.8082,367.781,1096.44,-50.6416,314.595,1019.19,-20.0387,247.619,844.488,-55.6361,311.345,836.293,-62.3249,239.992,763.532,374.809,210.237,1005.16,106.542,201.931,999.98,268.802,393.475,1021.13,188.094,388.565,1018.08,422.481,279.966,671.339,418.502,316.58,509.207,416.329,347.562,254.897,387.178,338.044,71.4601,335.79,383.956,60.644,373.815,177.36,39.4632,54.314,244.089,726.755,64.053,316.338,502.058,50.924,341.933,389.413,93.227,351.245,69.1492,134.766,396.736,39.1558,92.4634,184.894,34.7671
9,0,310.636,224.318,1718.1,153.841,203.784,1723.45,306.738,338.413,1706.38,152.276,328.794,1716.26,227.163,379.407,1525.16,243.289,443.457,1245.08,239.326,243.251,1439.58,250.532,207.542,1269.66,,,,155.477,433.428,1434.35,489.984,324.943,1239.04,506.647,351.197,1109.74,510.218,279.205,968.993,520.415,303.487,850.683,477.943,242.995,858.606,518.27,237.373,776.599,65.9178,343.886,1483.78,-0.385039,323.671,1294.23,-20.7554,367.647,1096.48,-50.5812,314.357,1019.3,-19.5567,246.158,845.064,-55.4676,310.696,836.42,-62.054,239.198,763.806,374.751,210.177,1005.15,106.51,201.886,999.975,268.737,393.422,1021.11,188.064,388.558,1018.1,422.401,279.938,671.217,418.486,316.584,509.181,416.296,347.493,254.894,387.11,338.084,71.4419,335.774,383.981,60.6435,373.786,177.324,39.4333,54.3488,244.036,726.737,64.0307,316.325,502.026,50.9049,341.952,389.392,93.1846,351.249,69.1704,134.781,396.738,39.158,92.4718,184.893,34.7987
