
Trajectories
120
,,Sub003:LFHD,,,Sub003:RFHD,,,Sub003:LBHD,,,Sub003:RBHD,,,Sub003:C7,,,Sub003:T10,,,Sub003:CLAV,,,Sub003:STRN,,,Sub003:RBAK,,,Sub003:LSHO,,,Sub003:LUPA,,,Sub003:LELB,,,Sub003:LFRM,,,Sub003:LWRA,,,Sub003:LWRB,,,Sub003:LFIN,,,Sub003:RSHO,,,Sub003:RUPA,,,Sub003:RELB,,,Sub003:RFRM,,,Sub003:RWRA,,,Sub003:RWRB,,,Sub003:RFIN,,,Sub003:LASI,,,Sub003:RASI,,,Sub003:LPSI,,,Sub003:RPSI,,,Sub003:LTHI,,,Sub003:LKNE,,,Sub003:LTIB,,,Sub003:LANK,,,Sub003:LHEE,,,Sub003:LTOE,,,Sub003:RTHI,,,Sub003:RKNE,,,Sub003:RTIB,,,Sub003:RANK,,,Sub003:RHEE,,,Sub003:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,317.437,261.905,1707.77,164.21,228.364,1719.5,303.783,375.829,1695.92,151.575,352.802,1711.8,219.976,407.837,1520.73,232.335,476.536,1241.07,235.222,272.286,1432.55,244.087,239.762,1262.48,146.769,464.208,1433.08,426.385,362.077,1477.87,476.764,364.313,1232.41,489.944,384.498,1101.17,497.916,304.972,964.97,468.197,259.124,858.058,503.786,323.494,845.274,508.288,250.928,777.357,61.3417,370.097,1481.06,-4.41364,350.747,1291.39,-21.7542,394.062,1091.91,-49.4071,336.935,1015.69,-13.6608,259.958,846.952,-48.4283,324.493,833.627,-53.5879,248.309,765.868,367.601,241.888,993.55,96.386,228.461,996.687,257.358,420.959,1018.91,176.487,416.427,1018.19,416.893,331.589,666.61,416.878,382.186,508.896,409.116,409.901,253.454,376.233,390.479,71.0013,322.879,432.955,60.1523,370.766,226.961,39.3596,43.3254,274.981,726.094,51.0144,350.201,501.637,37.6959,375.51,388.766,82.8872,382.995,69.0833,143.012,426.396,54.0504,86.474,215.974,34.5325
2,0,317.375,261.899,1707.72,164.171,228.35,1719.45,303.815,375.617,1695.78,151.548,352.84,1711.76,219.914,406.944,1520.17,232.23,476.622,1241.09,235.185,272.266,1432.53,244.044,239.85,1262.46,146.678,464.149,1433.05,426.335,362.209,1477.86,476.708,364.321,1232.37,489.999,384.744,1101.04,497.878,305,964.956,468.182,259.162,858.039,503.745,323.508,845.248,508.276,250.967,777.346,61.2897,370.08,1481.03,-4.45573,350.738,1291.36,-21.7822,394.02,1091.86,-49.462,336.972,1015.66,-13.7202,260.017,846.873,-48.473,324.484,833.567,-53.6449,248.321,765.82,367.435,242.037,993.663,96.3623,228.402,996.682,257.285,420.927,1018.89,176.469,416.365,1018.19,416.859,331.608,666.62,416.717,382.005,508.734,409.1,409.924,253.45,376.276,390.628,71.1626,322.891,432.889,60.1188,370.768,226.992,39.3589,43.5975,274.803,726.118,50.9952,350.165,501.624,37.6856,375.484,388.762,82.8802,383.012,69.098,142.972,426.39,54.0242,86.4932,215.976,34.5479
3,0,317.347,261.9,1707.7,164.123,228.346,1719.43,303.725,375.602,1695.79,151.484,352.822,1711.78,219.852,407.801,1520.69,232.169,476.545,1241.03,235.132,272.275,1432.51,244.03,239.935,1262.42,146.619,464.199,1433.05,426.269,362.182,1477.87,476.669,364.42,1232.34,489.807,384.564,1101.11,497.843,305.069,964.939,468.125,259.154,858.045,503.712,323.542,845.255,508.257,250.982,777.346,60.7468,369.987,1481.54,-4.51893,350.767,1291.31,-21.8578,393.957,1091.84,-49.5202,336.907,1015.63,-13.7544,259.936,846.859,-48.5493,324.508,833.568,-53.6976,248.325,765.784,367.568,241.827,993.581,96.3624,228.364,996.664,257.018,421.015,1018.95,176.43,416.308,1018.15,417.02,331.518,666.907,416.558,382.106,508.535,409.071,409.924,253.462,376.301,390.665,71.1301,322.892,432.923,60.1388,370.755,226.98,39.3477,43.2842,274.905,726.076,50.985,350.125,501.643,37.683,375.438,388.753,82.9004,382.477,69.2985,142.983,426.4,54.0261,86.4906,215.974,34.5284
4,0,317.281,261.915,1707.69,164.052,228.353,1719.38,303.565,375.834,1695.91,151.417,352.785,1711.76,219.801,407.825,1520.68,232.109,476.591,1241.03,235.086,272.238,1432.49,243.971,239.997,1262.37,146.553,464.243,1433.03,426.203,362.191,1477.83,476.622,364.474,1232.33,489.771,384.617,1101.12,497.794,305.096,964.918,468.095,259.204,858.029,503.667,323.568,845.225,508.219,250.986,777.352,60.6938,369.987,1481.52,-4.55662,350.732,1291.31,-21.9197,393.905,1091.83,-49.5708,336.871,1015.59,-13.813,259.934,846.79,-48.6179,324.49,833.512,-53.7457,248.319,765.724,367.557,241.836,993.581,96.3219,228.329,996.667,256.979,420.933,1018.9,176.358,416.312,1018.14,416.838,331.536,666.623,416.673,381.85,508.632,409.054,409.878,253.46,376.193,390.508,71.0299,322.873,432.938,60.1977,370.811,226.975,39.3604,43.2763,274.877,726.069,50.9833,350.056,501.637,37.6863,375.413,388.753,82.8606,383.004,69.1605,143.005,426.366,54.0508,86.4874,215.965,34.5247
5,0,317.274,261.892,1707.65,164.006,228.326,1719.36,303.494,375.877,1695.93,151.377,352.789,1711.74,219.726,407.758,1520.63,232.03,476.632,1241.02,235.038,272.298,1432.42,243.949,240.026,1262.35,146.461,464.234,1433.02,426.133,362.252,1477.81,476.549,364.397,1232.32,489.783,384.726,1101.08,497.746,305.111,964.906,468.07,259.249,858.013,503.647,323.595,845.189,508.183,251.02,777.318,60.616,369.965,1481.5,-4.59438,350.659,1291.29,-21.9615,393.861,1091.81,-49.6064,336.848,1015.58,-13.8553,259.957,846.764,-48.6503,324.469,833.496,-53.7817,248.332,765.715,367.705,242.247,993.46,96.298,228.301,996.663,257.144,420.778,1018.81,176.312,416.299,1018.12,416.79,331.513,666.642,416.736,381.985,508.643,409.026,409.867,253.468,376.239,390.623,71.1443,322.865,432.866,60.1709,370.768,227.027,39.3446,43.2751,274.836,726.057,50.9522,350.036,501.629,37.6682,375.38,388.74,82.9301,382.495,69.3038,142.975,426.385,54.0234,86.5047,215.958,34.5343
6,0,317.211,261.914,1707.62,163.976,228.307,1719.3,303.546,375.636,1695.74,151.315,352.761,1711.7,219.689,407.669,1520.56,231.967,476.59,1240.99,234.991,272.315,1432.4,244.037,240.525,1262.13,146.434,464.213,1433.02,426.085,362.267,1477.8,476.536,364.595,1232.21,489.829,384.934,1100.95,497.695,305.16,964.876,468.021,259.262,857.991,503.584,323.649,845.179,508.152,251.043,777.305,60.5578,370.012,1481.48,-4.63145,350.718,1291.24,-22.0159,393.842,1091.77,-49.6423,336.814,1015.53,-13.9015,259.902,846.712,-48.7093,324.466,833.457,-53.8379,248.349,765.633,367.507,241.894,993.595,96.2752,228.277,996.661,257.054,420.846,1018.84,176.267,416.29,1018.1,416.777,331.431,666.658,416.689,381.861,508.617,409.009,409.805,253.45,376.173,390.512,71.0251,322.851,432.871,60.171,370.8,226.994,39.3503,43.2757,274.763,726.071,50.9246,349.995,501.607,37.6327,375.348,388.737,82.8496,382.98,69.1542,142.971,426.405,54.012,86.4991,215.974,34.5024
7,0,317.164,261.916,1707.57,163.913,228.321,1719.26,303.452,375.791,1695.84,151.304,352.815,1711.69,219.61,407.588,1520.48,231.9,476.677,1240.97,234.944,272.314,1432.33,243.876,240.09,1262.27,146.338,464.231,1432.99,426.017,362.34,1477.74,476.471,364.545,1232.26,489.694,384.821,1101,497.653,305.201,964.847,467.989,259.324,857.975,503.535,323.666,845.139,508.107,251.096,777.279,60.4753,370.029,1481.49,-4.69163,350.7,1291.24,-22.0648,393.832,1091.76,-49.7036,336.783,1015.54,-13.8934,259.885,846.716,-48.7432,324.45,833.436,-53.8747,248.282,765.656,367.52,241.957,993.612,96.2299,228.243,996.655,257.108,420.771,1018.7,176.219,416.212,1018.05,416.763,331.377,666.67,416.611,381.855,508.67,408.995,409.797,253.453,376.241,390.587,71.1327,322.854,432.86,60.1753,370.827,226.975,39.346,43.273,274.705,726.07,50.9158,349.908,501.602,37.6404,375.303,388.747,82.8812,382.968,69.1609,143.007,426.391,54.0107,86.5042,215.954,34.515
8,0,317.086,261.92,1707.52,163.873,228.329,1719.25,303.382,375.766,1695.79,151.253,352.782,1711.66,219.476,407.576,1520.42,231.819,476.684,1240.96,234.885,272.289,1432.23,243.961,240.614,1262.07,146.286,464.269,1433,425.945,362.316,1477.71,476.469,364.646,1232.21,489.728,385.012,1100.9,497.614,305.25,964.822,467.916,259.345,857.949,503.503,323.725,845.133,508.061,251.135,777.244,60.667,370.135,1481,-4.72963,350.899,1291.2,-22.0823,393.81,1091.73,-49.7325,336.77,1015.51,-13.675,259.583,846.757,-48.8057,324.414,833.427,-54.0287,248.492,765.573,367.462,241.921,993.642,96.2015,228.208,996.677,256.816,420.765,1018.72,176.178,416.28,1018.02,416.727,331.323,666.664,416.63,381.772,508.716,408.984,409.728,253.442,376.285,390.556,71.119,322.815,432.863,60.1997,370.806,226.982,39.3494,43.2308,274.654,726.073,50.9076,349.866,501.593,37.6215,375.264,388.721,82.8589,382.908,69.1364,142.979,426.351,53.9833,86.499,215.949,34.4684
9,0,317.044,261.915,1707.48,163.832,228.343,1719.23,303.323,375.802,1695.76,151.171,352.773,1711.67,219.435,407.601,1520.42,231.769,476.751,1240.97,234.822,272.252,1432.18,243.944,240.678,1262.03,146.216,464.266,1433,425.88,362.374,1477.72,476.382,364.689,1232.14,489.554,384.894,1100.97,497.549,305.306,964.794,467.884,259.401,857.916,503.457,323.749,845.103,508.02,251.18,777.226,60.7763,370.173,1481.04,-4.75493,350.768,1291.2,-22.1558,393.8,1091.73,-49.7571,336.758,1015.51,-13.9827,259.898,846.628,-48.8476,324.424,833.416,-53.952,248.313,765.583,367.434,241.958,993.665,96.1268,228.219,996.672,256.749,420.758,1018.71,176.143,416.186,1017.97,416.857,331.234,666.905,416.555,381.682,508.659,408.962,409.715,253.432,376.217,390.573,71.1162,322.856,432.82,60.2259,370.812,226.997,39.3399,43.1045,274.843,726.023,50.8942,349.836,501.595,37.629,375.231,388.731,82.9026,382.887,69.1225,142.954,426.358,53.9611,86.5156,215.95,34.5162
